iter	Logloss
0	0.5792575084
1	0.4853902642
2	0.4140203479
3	0.3627977302
4	0.323906727
5	0.2888343911
6	0.2575209207
7	0.2350914447
8	0.2110215093
9	0.193449086
10	0.1782244748
11	0.1657828351
12	0.1558078011
13	0.1475394652
14	0.1421608502
15	0.1366153861
16	0.1311752354
17	0.1266949996
18	0.1217225713
19	0.1183839905
20	0.115701711
21	0.1128399332
22	0.110591887
23	0.1082542482
24	0.1062916253
25	0.1044749969
26	0.1032038137
27	0.1018866286
28	0.1007586126
29	0.09993507535
30	0.09879569758
31	0.097440825
32	0.09634933157
33	0.09548233761
34	0.09495036716
35	0.09431453128
36	0.09359857335
37	0.09297602048
38	0.09227223704
39	0.09158811324
40	0.09108315818
41	0.09062016247
42	0.09012311001
43	0.08966334145
44	0.08924654925
45	0.08874700096
46	0.08829610208
47	0.08791752712
48	0.08760945149
49	0.08727947879
50	0.08698320874
51	0.08658679411
52	0.08637522264
53	0.08607639714
54	0.0856519002
55	0.08536389333
56	0.08496395246
57	0.08472412718
58	0.08444394987
59	0.08405504629
60	0.08387535472
61	0.0836189883
62	0.08343855293
63	0.08325065274
64	0.08304076627
65	0.08288182209
66	0.08264734903
67	0.08240129875
68	0.08220931805
69	0.08196713424
70	0.08176846257
71	0.08152914764
72	0.08136535696
73	0.08113771079
74	0.08096225922
75	0.08079122746
76	0.08060558502
77	0.0804280019
78	0.08017115193
79	0.0799658688
80	0.07974511469
81	0.07958206874
82	0.07938693948
83	0.07924519843
84	0.07909623339
85	0.07895252211
86	0.07883991273
87	0.07860045449
88	0.07840723166
89	0.07830179726
90	0.07814554352
91	0.07794038381
92	0.07776785244
93	0.07765495228
94	0.07753821755
95	0.07741799403
96	0.07728582901
97	0.07715938187
98	0.07697138414
99	0.07677352145
100	0.07656606516
101	0.07647235036
102	0.07630641103
103	0.07622702863
104	0.07613341784
105	0.07602166505
106	0.07580623728
107	0.07565777659
108	0.07554448581
109	0.07539098123
110	0.07522339666
111	0.07504709404
112	0.07486741079
113	0.07472870249
114	0.07462001136
115	0.07450182693
116	0.07444320855
117	0.07433279729
118	0.07418512269
119	0.07406166348
120	0.0738504958
121	0.07374821551
122	0.0735849479
123	0.07345325578
124	0.0733790608
125	0.07323456134
126	0.07312465766
127	0.0729354238
128	0.07275347379
129	0.07266976541
130	0.07250452019
131	0.07234969211
132	0.07226299974
133	0.07214358057
134	0.07209644766
135	0.071990465
136	0.07187631855
137	0.07175823906
138	0.0716171653
139	0.07146539563
140	0.07130175612
141	0.0712009736
142	0.07109096937
143	0.07098703643
144	0.07084307923
145	0.07062683253
146	0.07053010925
147	0.07047844118
148	0.07039587439
149	0.07024553431
150	0.0700659114
151	0.06997084907
152	0.0697990846
153	0.06959728864
154	0.06949752613
155	0.06939513488
156	0.06918901757
157	0.06904851888
158	0.0689200301
159	0.06882633518
160	0.06877091112
161	0.06858569883
162	0.06843548565
163	0.06824534366
164	0.06816686338
165	0.06802624311
